name,ra,dec,err_ellipse_r0,significance,hard_hs,hard_hm,hard_ms,flux_aper_b,flux_aper_s,flux_aper_m,flux_aper_h,extent_flag,var_flag,glon,glat,simbad_otype,simbad_id,source_class
2CXO J060731.8-444644,91.88282318933238,-44.77914766676521,0.3324142445182012,13.911660694845889,-0.17863835103061,0.031230480949407,-0.20986883198001,3.0939972682253e-14,5.1297327906598e-15,6.9715613720337e-15,1.9160433908903e-14,False,False,251.97986467262794,-26.197874516565438,,,
2CXO J010836.7+131934,17.153409830182227,13.326210930418112,0.35132900678567697,13.911312725092936,-0.28357276702061,-0.027482823235478,-0.25733916302311,4.164883553403e-14,1.0741420249175e-14,8.7712377108677e-15,2.2258403523482e-14,False,False,129.35091011512,-49.33134903309869,QSO,SDSS J010836.81+131934.4,AGN
2CXO J181855.5-134801,274.7314103405474,-13.800528675407396,0.31793182477587595,13.911261932926324,-0.22985633978763,-0.059962523422861,-0.17239225484072,2.9246366132407e-14,6.4269634859152e-15,7.0194964755998e-15,1.6006980324599e-14,False,True,16.97387981012211,0.769393111822836,Y*O,2MASS J18185553-1348019,stellar
2CXO J034653.0+235655,56.721285662193395,23.949127443914023,0.5996079000912573,13.91103344852226,-0.29731417863835,-0.02998126171143,-0.2685821361649,2.288827501764e-14,3.377794894348e-15,4.8321107178736e-15,1.322033680843e-14,False,True,166.6725574598367,-23.66272228226211,X,[KRL2001] 19,other
2CXO J100444.9+411348,151.18723189601423,41.23014072590121,0.30102068320667574,13.910157290693205,0.39225484072455,0.27108057464085,0.1211742660837,6.4119490393295e-15,7.0737091156517e-16,1.0719235161559e-15,4.291574257591e-15,False,True,179.4748353857067,53.17753946865075,X,2XMM J100444.9+411348,other
2CXO J132519.7-424922,201.33209166283075,-42.82312346846444,0.9802609173886602,13.909399750492485,-0.17114303560275,0.17489069331668,-0.33479075577764,4.9934236919822e-14,1.3282594923947e-14,8.2059667699084e-15,2.9156829171488e-14,False,True,309.5195203122097,19.6147121741233,X,[KKF2001] J132519.54-424924.41,other
2CXO J085536.8-462727,133.90362639356147,-46.4575122644899,2.104911839059465,13.909207190741268,0.99937539038101,0.59837601499063,0.99937539038101,1.1419245613871e-13,0.0,1.6801018149275e-14,1.6072513928589e-13,False,True,266.75482179996527,-0.8221300181297856,,,
2CXO J170112.8-300645,255.30345213428325,-30.11275678243229,0.2977389648803113,13.909030737160808,0.56589631480325,0.37476577139288,0.23985009369144,6.4665967570013e-14,2.9149788108984e-15,7.8310577182547e-15,5.5250776479697e-14,False,True,353.57477041755817,7.318663965187508,CV?,[OHL2020] s25,other
2CXO J161021.7+543104,242.59058849992357,54.51780820475062,0.3076019313055134,13.908547236774503,-0.2685821361649,0.097439100562149,-0.35602748282324,2.9911958677387e-14,8.9895094360908e-15,5.4428078853044e-15,1.5685064168731e-14,False,True,84.2729038202852,44.847254287930696,AGN,CXOEN1 J161021.7+543104,AGN
2CXO J183346.3+472702,278.44294550302527,47.45071715427455,0.3002508157645033,13.908508651626516,0.77201748906933,0.88194878201124,-0.34978138663335,,1.5000729932204e-14,1.0269911066834e-14,,False,False,76.07654278396,22.47414533489062,Sy2,3C 381.0,AGN
